127.0.0.1, 2013-10-06 21:17:19, GET, /swaraa/static/images/twitter.png, HTTP/1.1, 304, 0.000458
127.0.0.1, 2013-10-06 21:17:19, GET, /swaraa/static/images/gplus-32.png, HTTP/1.1, 304, 0.000484
127.0.0.1, 2013-10-06 21:17:19, GET, /swaraa/static/images/facebook.png, HTTP/1.1, 304, 0.000777
127.0.0.1, 2013-10-06 21:17:24, GET, /swaraa/appadmin/select/db, HTTP/1.1, 200, 0.165677
127.0.0.1, 2013-10-06 21:17:33, GET, /swaraa/appadmin/update/db/song/5, HTTP/1.1, 200, 0.212340
127.0.0.1, 2013-10-06 21:17:41, POST, /swaraa/appadmin/update/db/song/5, HTTP/1.1, 303, 0.342485
127.0.0.1, 2013-10-06 21:17:41, GET, /swaraa/appadmin/select/db, HTTP/1.1, 200, 0.183591
127.0.0.1, 2013-10-06 21:17:50, GET, /swaraa/default/homepage, HTTP/1.1, 200, 0.643702
127.0.0.1, 2013-10-06 21:17:50, GET, /swaraa/default/css/bootstrap.min.css, HTTP/1.1, 404, 0.201026
127.0.0.1, 2013-10-06 21:17:50, GET, /swaraa/default/download/song.Audio_File.a5f6f5fb907539f1.3139625f46494c4c45525f67616a61766164616e615f74686f64695f6b72697468692d7373692d6330392e6d7033.mp3, HTTP/1.1, 206, 0.248977
127.0.0.1, 2013-10-06 21:18:06, GET, /swaraa/default/homepage, HTTP/1.1, 200, 0.372983
127.0.0.1, 2013-10-06 21:18:06, GET, /swaraa/default/css/bootstrap.min.css, HTTP/1.1, 404, 0.148895
127.0.0.1, 2013-10-06 21:18:14, POST, /swaraa/default/upload.html, HTTP/1.1, 200, 0.158455
127.0.0.1, 2013-10-06 21:34:28, POST, /swaraa/default/upload.html, HTTP/1.1, 303, 0.625558
127.0.0.1, 2013-10-06 21:34:28, GET, /swaraa/default/homepage, HTTP/1.1, 500, 0.267507
127.0.0.1, 2013-10-06 21:34:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000244
127.0.0.1, 2013-10-06 21:34:34, GET, /swaraa/default/index, HTTP/1.1, 303, 0.154858
127.0.0.1, 2013-10-06 21:34:34, GET, /swaraa/default/homepage, HTTP/1.1, 500, 0.257581
127.0.0.1, 2013-10-06 21:34:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000354
127.0.0.1, 2013-10-06 21:34:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000600
127.0.0.1, 2013-10-06 21:34:44, GET, /admin/default, HTTP/1.1, 303, 0.051102
127.0.0.1, 2013-10-06 21:34:44, GET, /admin/default/site, HTTP/1.1, 200, 0.281723
127.0.0.1, 2013-10-06 21:34:44, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.018012
127.0.0.1, 2013-10-06 21:34:44, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000736
